source,target,weight
Alameda County,Alameda County,520898.0
Alameda County,Butte County,23.0
Alameda County,Calaveras County,31.0
Alameda County,Contra Costa County,37954.0
Alameda County,Del Norte County,45.0
Alameda County,El Dorado County,40.0
Alameda County,Fresno County,69.0
Alameda County,Humboldt County,5.0
Alameda County,Kern County,21.0
Alameda County,Los Angeles County,434.0
Alameda County,Marin County,3413.0
Alameda County,Mendocino County,25.0
Alameda County,Merced County,95.0
Alameda County,Monterey County,225.0
Alameda County,Napa County,553.0
Alameda County,Orange County,312.0
Alameda County,Placer County,128.0
Alameda County,Riverside County,62.0
Alameda County,Sacramento County,1059.0
Alameda County,San Benito County,24.0
Alameda County,San Bernardino County,187.0
Alameda County,San Diego County,184.0
Alameda County,San Francisco County,106952.0
Alameda County,San Joaquin County,1883.0
Alameda County,San Luis Obispo County,47.0
Alameda County,San Mateo County,40920.0
Alameda County,Santa Barbara County,78.0
Alameda County,Santa Clara County,77415.0
Alameda County,Santa Cruz County,195.0
Alameda County,Shasta County,5.0
Alameda County,Siskiyou County,18.0
Alameda County,Solano County,1851.0
Alameda County,Sonoma County,662.0
Alameda County,Stanislaus County,516.0
Alameda County,Trinity County,2.0
Alameda County,Tulare County,61.0
Alameda County,Tuolumne County,41.0
Alameda County,Ventura County,36.0
Alameda County,Yolo County,393.0
Alpine County,Alpine County,273.0
Alpine County,Calaveras County,18.0
Alpine County,El Dorado County,28.0
Alpine County,Kern County,4.0
Amador County,Alameda County,148.0
Amador County,Alpine County,10.0
Amador County,Amador County,9560.0
Amador County,Calaveras County,407.0
Amador County,Contra Costa County,303.0
Amador County,El Dorado County,630.0
Amador County,Placer County,85.0
Amador County,Plumas County,23.0
Amador County,Sacramento County,1864.0
Amador County,San Francisco County,74.0
Amador County,San Joaquin County,532.0
Amador County,San Mateo County,73.0
Amador County,Santa Clara County,119.0
Amador County,Solano County,4.0
Amador County,Sonoma County,11.0
Amador County,Stanislaus County,40.0
Amador County,Tuolumne County,36.0
Amador County,Yolo County,25.0
Butte County,Alameda County,266.0
Butte County,Amador County,8.0
Butte County,Butte County,83817.0
Butte County,Colusa County,280.0
Butte County,Contra Costa County,82.0
Butte County,Fresno County,76.0
Butte County,Glenn County,1167.0
Butte County,Humboldt County,31.0
Butte County,Kern County,41.0
Butte County,Lake County,28.0
Butte County,Lassen County,214.0
Butte County,Los Angeles County,45.0
Butte County,Marin County,45.0
Butte County,Mariposa County,24.0
Butte County,Modoc County,23.0
Butte County,Monterey County,43.0
Butte County,Napa County,29.0
Butte County,Nevada County,125.0
Butte County,Orange County,2.0
Butte County,Placer County,284.0
Butte County,Plumas County,159.0
Butte County,Sacramento County,1000.0
Butte County,San Bernardino County,7.0
Butte County,San Diego County,23.0
Butte County,San Francisco County,44.0
Butte County,San Joaquin County,158.0
Butte County,San Luis Obispo County,12.0
Butte County,San Mateo County,65.0
Butte County,Santa Clara County,187.0
Butte County,Santa Cruz County,80.0
Butte County,Shasta County,445.0
Butte County,Siskiyou County,9.0
Butte County,Solano County,90.0
Butte County,Sonoma County,137.0
Butte County,Sutter County,1518.0
Butte County,Tehama County,842.0
Butte County,Trinity County,13.0
Butte County,Tuolumne County,29.0
Butte County,Yolo County,300.0
Butte County,Yuba County,708.0
Calaveras County,Alameda County,333.0
Calaveras County,Alpine County,55.0
Calaveras County,Amador County,1092.0
Calaveras County,Calaveras County,9004.0
Calaveras County,Contra Costa County,236.0
Calaveras County,Los Angeles County,13.0
Calaveras County,Placer County,43.0
Calaveras County,Riverside County,30.0
Calaveras County,Sacramento County,908.0
Calaveras County,San Diego County,31.0
Calaveras County,San Francisco County,43.0
Calaveras County,San Joaquin County,2759.0
Calaveras County,San Mateo County,101.0
Calaveras County,Santa Barbara County,16.0
Calaveras County,Santa Clara County,319.0
Calaveras County,Santa Cruz County,18.0
Calaveras County,Solano County,73.0
Calaveras County,Stanislaus County,621.0
Calaveras County,Tuolumne County,1114.0
Colusa County,Alameda County,41.0
Colusa County,Amador County,19.0
Colusa County,Butte County,216.0
Colusa County,Colusa County,6496.0
Colusa County,Contra Costa County,3.0
Colusa County,Fresno County,5.0
Colusa County,Glenn County,110.0
Colusa County,Kern County,52.0
Colusa County,Lake County,26.0
Colusa County,Marin County,4.0
Colusa County,Mendocino County,39.0
Colusa County,Napa County,16.0
Colusa County,Placer County,42.0
Colusa County,Sacramento County,188.0
Colusa County,San Francisco County,22.0
Colusa County,San Joaquin County,197.0
Colusa County,San Mateo County,11.0
Colusa County,Siskiyou County,8.0
Colusa County,Solano County,236.0
Colusa County,Sutter County,396.0
Colusa County,Ventura County,6.0
Colusa County,Yolo County,1275.0
Colusa County,Yuba County,40.0
Contra Costa County,Alameda County,102534.0
Contra Costa County,Butte County,14.0
Contra Costa County,Calaveras County,5.0
Contra Costa County,Contra Costa County,322968.0
Contra Costa County,El Dorado County,23.0
Contra Costa County,Fresno County,300.0
Contra Costa County,Humboldt County,38.0
Contra Costa County,Kern County,211.0
Contra Costa County,Lake County,26.0
Contra Costa County,Los Angeles County,562.0
Contra Costa County,Marin County,9015.0
Contra Costa County,Merced County,127.0
Contra Costa County,Monterey County,131.0
Contra Costa County,Napa County,1148.0
Contra Costa County,Orange County,110.0
Contra Costa County,Placer County,205.0
Contra Costa County,Riverside County,58.0
Contra Costa County,Sacramento County,1430.0
Contra Costa County,San Bernardino County,49.0
Contra Costa County,San Diego County,181.0
Contra Costa County,San Francisco County,63010.0
Contra Costa County,San Joaquin County,2401.0
Contra Costa County,San Luis Obispo County,42.0
Contra Costa County,San Mateo County,13967.0
Contra Costa County,Santa Barbara County,97.0
Contra Costa County,Santa Clara County,16068.0
Contra Costa County,Santa Cruz County,175.0
Contra Costa County,Siskiyou County,23.0
Contra Costa County,Solano County,7814.0
Contra Costa County,Sonoma County,1297.0
Contra Costa County,Stanislaus County,280.0
Contra Costa County,Sutter County,26.0
Contra Costa County,Tehama County,5.0
Contra Costa County,Tulare County,147.0
Contra Costa County,Ventura County,27.0
Contra Costa County,Yolo County,551.0
Contra Costa County,Yuba County,80.0
Del Norte County,Del Norte County,8183.0
Del Norte County,Fresno County,55.0
Del Norte County,Humboldt County,181.0
Del Norte County,Mendocino County,9.0
Del Norte County,San Bernardino County,6.0
Del Norte County,Sonoma County,32.0
El Dorado County,Alameda County,377.0
El Dorado County,Alpine County,66.0
El Dorado County,Amador County,351.0
El Dorado County,Butte County,13.0
El Dorado County,Calaveras County,10.0
