county,population
Alameda County,1661584
Alpine County,1096
Amador County,39023
Butte County,223344
Calaveras County,45828
Colusa County,21491
Contra Costa County,1147788
Del Norte County,27692
El Dorado County,190345
Fresno County,990204
Glenn County,28060
Humboldt County,136101
Imperial County,180580
Inyo County,17930
Kern County,892458
Kings County,151090
Lake County,64276
Lassen County,30600
Los Angeles County,10040682
Madera County,155925
Marin County,259441
Mariposa County,17319
Mendocino County,87110
Merced County,273661
Modoc County,8853
Mono County,14395
Monterey County,432977
Napa County,138572
Nevada County,99417
Orange County,3170345
Placer County,391799
Plumas County,18844
Riverside County,2437864
Sacramento County,1537948
San Benito County,61547
San Bernardino County,2162532
San Diego County,3323970
San Francisco County,874784
San Joaquin County,751615
San Luis Obispo County,282517
San Mateo County,765623
Santa Barbara County,444895
Santa Clara County,1924379
Santa Cruz County,273170
Shasta County,179267
Sierra County,2961
Siskiyou County,43516
Solano County,444538
Sonoma County,496801
Stanislaus County,546235
Sutter County,96315
Tehama County,64176
Trinity County,12541
Tulare County,463955
Tuolumne County,54147
Ventura County,845599
Yolo County,218774
Yuba County,77524
