source,target,weight
Alachua County,Alachua County,116046.0
Alachua County,Baker County,66.0
Alachua County,Bay County,11.0
Alachua County,Bradford County,639.0
Alachua County,Brevard County,34.0
Alachua County,Broward County,24.0
Alachua County,Citrus County,154.0
Alachua County,Clay County,129.0
Alachua County,Columbia County,936.0
Alachua County,Dixie County,160.0
Alachua County,Duval County,577.0
Alachua County,Escambia County,186.0
Alachua County,Flagler County,31.0
Alachua County,Gilchrist County,281.0
Alachua County,Hamilton County,30.0
Alachua County,Hernando County,12.0
Alachua County,Hillsborough County,278.0
Alachua County,Jackson County,14.0
Alachua County,Lafayette County,21.0
Alachua County,Lake County,14.0
Alachua County,Leon County,55.0
Alachua County,Levy County,340.0
Alachua County,Manatee County,64.0
Alachua County,Marion County,1959.0
Alachua County,Martin County,34.0
Alachua County,Miami-Dade County,74.0
Alachua County,Orange County,282.0
Alachua County,Palm Beach County,21.0
Alachua County,Pasco County,49.0
Alachua County,Pinellas County,42.0
Alachua County,Polk County,77.0
Alachua County,Putnam County,294.0
Alachua County,Sarasota County,44.0
Alachua County,Seminole County,117.0
Alachua County,St. Johns County,281.0
Alachua County,Sumter County,4.0
Alachua County,Suwannee County,217.0
Alachua County,Union County,257.0
Alachua County,Volusia County,12.0
Baker County,Alachua County,34.0
Baker County,Baker County,5244.0
Baker County,Bradford County,17.0
Baker County,Clay County,177.0
Baker County,Columbia County,511.0
Baker County,Duval County,4079.0
Baker County,Gilchrist County,18.0
Baker County,Hamilton County,50.0
Baker County,Marion County,46.0
Baker County,Orange County,25.0
Baker County,Suwannee County,31.0
Baker County,Union County,308.0
Bay County,Alachua County,23.0
Bay County,Bay County,78410.0
Bay County,Broward County,6.0
Bay County,Calhoun County,26.0
Bay County,Columbia County,5.0
Bay County,Duval County,22.0
Bay County,Escambia County,32.0
Bay County,Franklin County,3.0
Bay County,Gulf County,556.0
Bay County,Hamilton County,9.0
Bay County,Holmes County,56.0
Bay County,Jackson County,325.0
Bay County,Lake County,12.0
Bay County,Leon County,239.0
Bay County,Okaloosa County,383.0
Bay County,Palm Beach County,2.0
Bay County,Santa Rosa County,14.0
Bay County,Sarasota County,8.0
Bay County,Seminole County,7.0
Bay County,Walton County,1973.0
Bay County,Washington County,403.0
Bradford County,Alachua County,1470.0
Bradford County,Baker County,70.0
Bradford County,Bradford County,5189.0
Bradford County,Clay County,806.0
Bradford County,Columbia County,124.0
Bradford County,Duval County,1154.0
Bradford County,Levy County,17.0
Bradford County,Marion County,31.0
Bradford County,Putnam County,257.0
Bradford County,St. Johns County,82.0
Bradford County,Suwannee County,63.0
Bradford County,Union County,618.0
Brevard County,Alachua County,17.0
Brevard County,Bay County,17.0
Brevard County,Brevard County,234601.0
Brevard County,Broward County,408.0
Brevard County,Charlotte County,64.0
Brevard County,Clay County,3.0
Brevard County,Collier County,51.0
Brevard County,Columbia County,17.0
Brevard County,Duval County,152.0
Brevard County,Hendry County,93.0
Brevard County,Highlands County,23.0
Brevard County,Hillsborough County,241.0
Brevard County,Indian River County,3930.0
Brevard County,Lake County,150.0
Brevard County,Lee County,61.0
Brevard County,Leon County,56.0
Brevard County,Levy County,9.0
Brevard County,Marion County,35.0
Brevard County,Martin County,67.0
Brevard County,Miami-Dade County,363.0
Brevard County,Okeechobee County,9.0
Brevard County,Orange County,8860.0
Brevard County,Osceola County,434.0
Brevard County,Palm Beach County,316.0
Brevard County,Pasco County,8.0
Brevard County,Pinellas County,80.0
Brevard County,Polk County,132.0
Brevard County,Putnam County,15.0
Brevard County,Santa Rosa County,9.0
Brevard County,Seminole County,909.0
Brevard County,St. Johns County,134.0
Brevard County,St. Lucie County,1159.0
Brevard County,Volusia County,1018.0
Broward County,Alachua County,239.0
Broward County,Bay County,13.0
Broward County,Brevard County,111.0
Broward County,Broward County,737891.0
Broward County,Charlotte County,165.0
Broward County,Collier County,357.0
Broward County,Dixie County,17.0
Broward County,Duval County,275.0
Broward County,Escambia County,22.0
Broward County,Glades County,4.0
Broward County,Hendry County,205.0
Broward County,Hernando County,9.0
Broward County,Hillsborough County,307.0
Broward County,Indian River County,126.0
Broward County,Lake County,17.0
Broward County,Lee County,195.0
Broward County,Leon County,192.0
Broward County,Levy County,29.0
Broward County,Manatee County,83.0
Broward County,Marion County,63.0
Broward County,Martin County,272.0
Broward County,Miami-Dade County,145313.0
Broward County,Monroe County,308.0
Broward County,Okeechobee County,108.0
Broward County,Orange County,483.0
Broward County,Palm Beach County,58636.0
Broward County,Pasco County,75.0
Broward County,Pinellas County,194.0
Broward County,Polk County,168.0
Broward County,Sarasota County,47.0
Broward County,Seminole County,85.0
Broward County,St. Johns County,89.0
Broward County,St. Lucie County,310.0
Broward County,Taylor County,43.0
Broward County,Volusia County,65.0
Calhoun County,Bay County,366.0
Calhoun County,Calhoun County,2125.0
Calhoun County,Clay County,40.0
Calhoun County,Franklin County,16.0
Calhoun County,Gadsden County,222.0
Calhoun County,Gulf County,237.0
Calhoun County,Jackson County,704.0
Calhoun County,Leon County,195.0
Calhoun County,Liberty County,519.0
Calhoun County,Walton County,1.0
Calhoun County,Washington County,113.0
Charlotte County,Alachua County,31.0
Charlotte County,Bay County,19.0
Charlotte County,Broward County,29.0
Charlotte County,Charlotte County,44047.0
Charlotte County,Collier County,444.0
Charlotte County,DeSoto County,1073.0
Charlotte County,Hardee County,28.0
Charlotte County,Highlands County,27.0
Charlotte County,Hillsborough County,436.0
Charlotte County,Jackson County,56.0
Charlotte County,Lake County,5.0
Charlotte County,Lee County,5977.0
Charlotte County,Manatee County,705.0
Charlotte County,Miami-Dade County,110.0
Charlotte County,Orange County,88.0
Charlotte County,Osceola County,19.0
Charlotte County,Palm Beach County,13.0
Charlotte County,Pasco County,13.0
Charlotte County,Pinellas County,194.0
Charlotte County,Polk County,111.0
Charlotte County,Putnam County,119.0
Charlotte County,Sarasota County,8313.0
Charlotte County,Seminole County,6.0
Charlotte County,St. Johns County,75.0
Citrus County,Alachua County,21.0
Citrus County,Broward County,7.0
Citrus County,Charlotte County,9.0
Citrus County,Citrus County,35101.0
Citrus County,Columbia County,45.0
Citrus County,Duval County,97.0
Citrus County,Hernando County,1847.0
Citrus County,Hillsborough County,671.0
Citrus County,Lake County,377.0
Citrus County,Lee County,28.0
Citrus County,Levy County,389.0
Citrus County,Marion County,4568.0
Citrus County,Monroe County,5.0
Citrus County,Orange County,409.0
Citrus County,Osceola County,4.0
Citrus County,Palm Beach County,10.0
Citrus County,Pasco County,352.0
Citrus County,Pinellas County,249.0
Citrus County,Polk County,92.0
Citrus County,Seminole County,12.0
Citrus County,Sumter County,1248.0
Citrus County,Volusia County,41.0
Citrus County,Wakulla County,28.0
Clay County,Alachua County,1522.0
Clay County,Baker County,368.0
Clay County,Bradford County,1196.0
Clay County,Broward County,11.0
Clay County,Clay County,44889.0
Clay County,Columbia County,222.0
Clay County,Duval County,46088.0
Clay County,Flagler County,131.0
Clay County,Franklin County,5.0
Clay County,Hillsborough County,46.0
Clay County,Jackson County,48.0
Clay County,Lake County,72.0
Clay County,Leon County,62.0
Clay County,Marion County,146.0
Clay County,Nassau County,239.0
Clay County,Orange County,3.0
Clay County,Palm Beach County,4.0
Clay County,Pinellas County,1.0
Clay County,Polk County,148.0
Clay County,Putnam County,857.0
Clay County,Sarasota County,45.0
Clay County,Seminole County,67.0
Clay County,St. Johns County,2083.0
Clay County,Suwannee County,8.0
Clay County,Union County,88.0
Clay County,Volusia County,38.0
Collier County,Alachua County,9.0
Collier County,Broward County,211.0
Collier County,Charlotte County,120.0
Collier County,Citrus County,14.0
Collier County,Collier County,139140.0
Collier County,Duval County,46.0
Collier County,Glades County,38.0
Collier County,Hendry County,337.0
Collier County,Highlands County,16.0
Collier County,Hillsborough County,219.0
Collier County,Lee County,10912.0
Collier County,Miami-Dade County,689.0
Collier County,Monroe County,45.0
Collier County,Orange County,69.0
Collier County,Osceola County,56.0
Collier County,Palm Beach County,172.0
Collier County,Pasco County,29.0
Collier County,Pinellas County,14.0
Collier County,Polk County,22.0
Collier County,Sarasota County,34.0
Columbia County,Alachua County,3640.0
Columbia County,Baker County,360.0
Columbia County,Bay County,32.0
Columbia County,Bradford County,152.0
Columbia County,Citrus County,26.0
Columbia County,Columbia County,18419.0
Columbia County,Duval County,764.0
Columbia County,Gadsden County,8.0
Columbia County,Gilchrist County,5.0
Columbia County,Hamilton County,462.0
Columbia County,Hillsborough County,12.0
Columbia County,Leon County,50.0
Columbia County,Levy County,9.0
Columbia County,Madison County,26.0
Columbia County,Marion County,90.0
Columbia County,Miami-Dade County,21.0
Columbia County,Nassau County,15.0
Columbia County,Okeechobee County,14.0
Columbia County,Orange County,24.0
Columbia County,Palm Beach County,56.0
Columbia County,Pinellas County,47.0
Columbia County,Polk County,35.0
Columbia County,Putnam County,21.0
Columbia County,St. Johns County,82.0
Columbia County,Sumter County,11.0
Columbia County,Suwannee County,764.0
Columbia County,Union County,330.0
DeSoto County,Broward County,14.0
DeSoto County,Charlotte County,1249.0
DeSoto County,Collier County,14.0
DeSoto County,DeSoto County,10225.0
DeSoto County,Hardee County,107.0
DeSoto County,Highlands County,44.0
DeSoto County,Hillsborough County,8.0
DeSoto County,Lee County,230.0
DeSoto County,Manatee County,158.0
DeSoto County,Martin County,29.0
DeSoto County,Miami-Dade County,4.0
DeSoto County,Okeechobee County,64.0
DeSoto County,Orange County,15.0
DeSoto County,Osceola County,43.0
DeSoto County,Palm Beach County,5.0
DeSoto County,Pinellas County,20.0
DeSoto County,Sarasota County,726.0
DeSoto County,Suwannee County,17.0
Dixie County,Alachua County,467.0
Dixie County,Columbia County,10.0
Dixie County,Dixie County,3085.0
Dixie County,Gilchrist County,439.0
Dixie County,Hamilton County,7.0
Dixie County,Hillsborough County,3.0
Dixie County,Lafayette County,132.0
Dixie County,Lake County,48.0
Dixie County,Levy County,538.0
Dixie County,Suwannee County,24.0
Dixie County,Taylor County,62.0
Dixie County,Union County,12.0
Duval County,Alachua County,318.0
Duval County,Baker County,1045.0
Duval County,Bay County,39.0
Duval County,Bradford County,138.0
Duval County,Brevard County,149.0
Duval County,Broward County,199.0
Duval County,Clay County,8655.0
Duval County,Columbia County,150.0
Duval County,Duval County,431726.0
Duval County,Escambia County,81.0
Duval County,Flagler County,85.0
Duval County,Gilchrist County,60.0
Duval County,Hillsborough County,179.0
Duval County,Jefferson County,15.0
Duval County,Lake County,26.0
Duval County,Leon County,374.0
Duval County,Manatee County,10.0
Duval County,Marion County,111.0
Duval County,Miami-Dade County,112.0
Duval County,Monroe County,32.0
Duval County,Nassau County,2415.0
Duval County,Okaloosa County,54.0
Duval County,Orange County,393.0
Duval County,Palm Beach County,52.0
Duval County,Pasco County,5.0
Duval County,Pinellas County,278.0
Duval County,Polk County,12.0
Duval County,Putnam County,262.0
Duval County,Sarasota County,94.0
Duval County,Seminole County,22.0
Duval County,St. Johns County,12471.0
Duval County,Sumter County,35.0
Duval County,Union County,237.0
Duval County,Volusia County,195.0
Duval County,Walton County,42.0
Escambia County,Alachua County,55.0
Escambia County,Bay County,23.0
Escambia County,Broward County,12.0
Escambia County,Collier County,7.0
Escambia County,Duval County,90.0
Escambia County,Escambia County,128193.0
Escambia County,Gadsden County,27.0
Escambia County,Jackson County,29.0
Escambia County,Miami-Dade County,18.0
Escambia County,Okaloosa County,747.0
Escambia County,Orange County,15.0
Escambia County,Osceola County,10.0
Escambia County,Palm Beach County,18.0
Escambia County,Pinellas County,31.0
Escambia County,Santa Rosa County,6412.0
Escambia County,Sarasota County,9.0
Escambia County,St. Johns County,19.0
Escambia County,St. Lucie County,12.0
Escambia County,Walton County,166.0
Flagler County,Alachua County,62.0
Flagler County,Brevard County,57.0
Flagler County,Broward County,9.0
Flagler County,Clay County,132.0
Flagler County,Duval County,1305.0
Flagler County,Flagler County,26634.0
Flagler County,Hillsborough County,172.0
Flagler County,Marion County,198.0
Flagler County,Martin County,13.0
Flagler County,Miami-Dade County,55.0
Flagler County,Monroe County,4.0
Flagler County,Nassau County,21.0
Flagler County,Orange County,194.0
Flagler County,Osceola County,28.0
Flagler County,Palm Beach County,36.0
Flagler County,Polk County,4.0
Flagler County,Putnam County,557.0
Flagler County,Sarasota County,18.0
Flagler County,Seminole County,66.0
Flagler County,St. Johns County,4909.0
Flagler County,Volusia County,9110.0
Franklin County,Bay County,79.0
Franklin County,Franklin County,3522.0
Franklin County,Gulf County,172.0
Franklin County,Jefferson County,10.0
Franklin County,Leon County,104.0
Franklin County,Marion County,10.0
Franklin County,Okaloosa County,20.0
Franklin County,Pinellas County,24.0
Franklin County,Polk County,12.0
Franklin County,Wakulla County,56.0
Gadsden County,Bay County,93.0
Gadsden County,Calhoun County,42.0
Gadsden County,Collier County,2.0
Gadsden County,Gadsden County,7568.0
Gadsden County,Hillsborough County,21.0
Gadsden County,Jackson County,289.0
Gadsden County,Jefferson County,81.0
Gadsden County,Leon County,8311.0
Gadsden County,Liberty County,151.0
Gadsden County,Madison County,69.0
Gadsden County,Marion County,33.0
Gadsden County,Orange County,21.0
Gadsden County,Wakulla County,44.0
Gilchrist County,Alachua County,3012.0
Gilchrist County,Bradford County,12.0
Gilchrist County,Brevard County,13.0
Gilchrist County,Broward County,22.0
Gilchrist County,Columbia County,289.0
Gilchrist County,Dixie County,95.0
Gilchrist County,Gilchrist County,2467.0
Gilchrist County,Hamilton County,12.0
Gilchrist County,Hillsborough County,13.0
Gilchrist County,Lake County,7.0
Gilchrist County,Levy County,836.0
Gilchrist County,Madison County,5.0
Gilchrist County,Marion County,14.0
Gilchrist County,Orange County,26.0
Gilchrist County,Pasco County,6.0
Gilchrist County,Pinellas County,23.0
Gilchrist County,St. Johns County,6.0
Gilchrist County,Suwannee County,149.0
Gilchrist County,Taylor County,39.0
Gilchrist County,Union County,3.0
Glades County,Bay County,24.0
Glades County,Brevard County,7.0
Glades County,Broward County,27.0
Glades County,Collier County,100.0
Glades County,Glades County,1097.0
Glades County,Hendry County,1032.0
Glades County,Highlands County,15.0
Glades County,Lee County,600.0
Glades County,Martin County,18.0
Glades County,Miami-Dade County,115.0
Glades County,Okeechobee County,436.0
Glades County,Palm Beach County,17.0
Glades County,Pinellas County,12.0
Gulf County,Bay County,1303.0
Gulf County,Broward County,2.0
Gulf County,Calhoun County,13.0
Gulf County,Franklin County,58.0
Gulf County,Gulf County,3853.0
Gulf County,Leon County,142.0
Gulf County,Walton County,27.0
Gulf County,Washington County,24.0
Hamilton County,Alachua County,16.0
Hamilton County,Baker County,25.0
Hamilton County,Brevard County,4.0
Hamilton County,Columbia County,682.0
Hamilton County,Gilchrist County,2.0
Hamilton County,Hamilton County,2018.0
Hamilton County,Hillsborough County,6.0
Hamilton County,Jefferson County,56.0
Hamilton County,Lee County,11.0
Hamilton County,Madison County,120.0
Hamilton County,Palm Beach County,1.0
Hamilton County,Pinellas County,3.0
Hamilton County,Suwannee County,375.0
Hamilton County,Taylor County,16.0
Hardee County,Charlotte County,20.0
Hardee County,Collier County,1.0
Hardee County,DeSoto County,448.0
Hardee County,Hardee County,6655.0
Hardee County,Highlands County,363.0
Hardee County,Hillsborough County,189.0
Hardee County,Lake County,21.0
