source,target,weight
Allen County,Allen County,4319.0
Allen County,Anderson County,111.0
Allen County,Bourbon County,7.0
Allen County,Coffey County,23.0
Allen County,Crawford County,15.0
Allen County,Franklin County,30.0
Allen County,Johnson County,31.0
Allen County,Labette County,29.0
Allen County,Linn County,2.0
Allen County,Miami County,103.0
Allen County,Montgomery County,72.0
Allen County,Neosho County,738.0
Allen County,Rice County,24.0
Allen County,Sedgwick County,19.0
Allen County,Wilson County,18.0
Allen County,Woodson County,97.0
Allen County,Wyandotte County,34.0
Anderson County,Allen County,267.0
Anderson County,Anderson County,1720.0
Anderson County,Coffey County,80.0
Anderson County,Crawford County,9.0
Anderson County,Douglas County,132.0
Anderson County,Franklin County,287.0
Anderson County,Johnson County,309.0
Anderson County,Labette County,57.0
Anderson County,Linn County,62.0
Anderson County,Lyon County,45.0
Anderson County,Miami County,160.0
Anderson County,Montgomery County,2.0
Anderson County,Neosho County,13.0
Anderson County,Osage County,36.0
Anderson County,Wilson County,3.0
Anderson County,Woodson County,24.0
Anderson County,Wyandotte County,43.0
Atchison County,Atchison County,5468.0
Atchison County,Brown County,173.0
Atchison County,Doniphan County,53.0
Atchison County,Douglas County,29.0
Atchison County,Jackson County,119.0
Atchison County,Jefferson County,194.0
Atchison County,Johnson County,87.0
Atchison County,Leavenworth County,414.0
Atchison County,Nemaha County,5.0
Atchison County,Neosho County,12.0
Atchison County,Pottawatomie County,3.0
Atchison County,Saline County,1.0
Atchison County,Sedgwick County,9.0
Atchison County,Shawnee County,106.0
Atchison County,Wyandotte County,175.0
Barber County,Allen County,1.0
Barber County,Barber County,1508.0
Barber County,Barton County,13.0
Barber County,Comanche County,7.0
Barber County,Ford County,2.0
Barber County,Harper County,116.0
Barber County,Kingman County,41.0
Barber County,Marion County,1.0
Barber County,McPherson County,6.0
Barber County,Miami County,9.0
Barber County,Pratt County,200.0
Barber County,Reno County,9.0
Barber County,Sedgwick County,23.0
Barber County,Stafford County,8.0
Barton County,Barton County,11446.0
Barton County,Decatur County,6.0
Barton County,Ellis County,60.0
Barton County,Ellsworth County,111.0
Barton County,Finney County,37.0
Barton County,Ford County,11.0
Barton County,Johnson County,12.0
Barton County,McPherson County,6.0
Barton County,Montgomery County,13.0
Barton County,Ness County,2.0
Barton County,Pawnee County,412.0
Barton County,Reno County,7.0
Barton County,Rice County,128.0
Barton County,Rush County,58.0
Barton County,Russell County,54.0
Barton County,Scott County,13.0
Barton County,Sedgwick County,22.0
Barton County,Shawnee County,43.0
Barton County,Stafford County,95.0
Barton County,Stevens County,24.0
Bourbon County,Allen County,131.0
Bourbon County,Anderson County,2.0
Bourbon County,Bourbon County,5132.0
Bourbon County,Chautauqua County,17.0
Bourbon County,Cherokee County,28.0
Bourbon County,Crawford County,279.0
Bourbon County,Douglas County,8.0
Bourbon County,Franklin County,6.0
Bourbon County,Johnson County,49.0
