county,population
Allen County,12503
Anderson County,7877
Atchison County,16210
Barber County,4504
Barton County,26209
Bourbon County,14539
Brown County,9575
Butler County,66890
Chase County,2604
Chautauqua County,3280
Cherokee County,20017
Cheyenne County,2639
Clark County,2006
Clay County,8030
Cloud County,8831
Coffey County,8218
Comanche County,1748
Cowley County,35090
Crawford County,38874
Decatur County,2826
Dickinson County,18614
Doniphan County,7616
Douglas County,121304
Edwards County,2821
Elk County,2502
Ellis County,28747
Ellsworth County,6176
Finney County,36451
Ford County,33718
Franklin County,25643
Geary County,33309
Gove County,2628
Graham County,2464
Grant County,7324
Gray County,6020
Greeley County,1229
Greenwood County,6010
Hamilton County,2552
Harper County,5506
Harvey County,34434
Haskell County,3990
Hodgeman County,1808
Jackson County,13249
Jefferson County,18974
Jewell County,2854
Johnson County,597574
Kearny County,3863
Kingman County,7173
Kiowa County,2483
Labette County,19938
Lane County,1545
Leavenworth County,81499
Lincoln County,3013
Linn County,9687
Logan County,2789
Lyon County,33237
Marion County,11865
Marshall County,9713
McPherson County,28557
Meade County,4120
Miami County,33740
Mitchell County,6053
Montgomery County,32114
Morris County,5551
Morton County,2656
Nemaha County,10108
Neosho County,16008
Ness County,2838
Norton County,5416
Osage County,15855
Osborne County,3494
Ottawa County,5776
Pawnee County,6539
Phillips County,5297
Pottawatomie County,24203
Pratt County,9324
Rawlins County,2490
Reno County,62421
Republic County,4607
Rice County,9532
Riley County,74059
Rooks County,4985
Rush County,3016
Russell County,6896
Saline County,54384
Scott County,4893
Sedgwick County,515416
Seward County,21902
Shawnee County,177293
Sheridan County,2515
Sherman County,5904
Smith County,3594
Stafford County,4125
Stanton County,2030
Stevens County,5497
Sumner County,22928
Thomas County,7748
Trego County,2802
Wabaunsee County,6877
Wallace County,1510
Washington County,5474
Wichita County,2112
Wilson County,8600
Woodson County,3117
Wyandotte County,165447
